연번,화재발생일,시도,시군구,발화요인대분류,발화요인소분류,차량장소,장소소분류,지상_지하여부,차량상태,차량발화지점
1,2021-01-19,제주특별자치도,제주시,부주의,담배꽁초,주차장,지상1층,지상,주차,기타차량위치
2,2021-01-23,대구광역시,달서구,미상,미상,주차장,지상1층,지상,충전중,뒷좌석
3,2021-02-15,경상남도,창원시 진해구,미상,미상,일반도로,지상1층,지상,운행중,미상
4,2021-03-17,경기도,동두천시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
5,2021-04-03,전라남도,무안군,전기적 요인,접촉불량에 의한 단락,기타 도로,지상1층,지상,운행중,기타차량위치
6,2021-06-10,충청남도,서산시,전기적 요인,기타(전기적요인),일반도로,지상1층,지상,운행중,기타차량위치
7,2021-06-18,충청남도,보령시,미상,미상,일반도로,지상1층,지상,주차,미상
8,2021-07-01,세종특별자치시,세종,기타,기타,주차장,지하1층,지하,주차,기타차량위치
9,2021-07-14,대구광역시,북구,미상,미상,일반도로,지상1층,지상,운행중,기타차량위치
10,2021-08-04,경기도,광명시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
11,2021-08-09,전라북도,전주시덕진구,전기적 요인,접촉불량에 의한 단락,공지,지상1층,지상,운행중,기타차량위치
12,2021-08-15,전라북도,무주군,전기적 요인,기타(전기적요인),고속도로,지상1층,지상,운행중,앞좌석
13,2021-09-16,광주광역시,광산구,부주의,"용접, 절단, 연마",일반도로,지상1층,지상,운행중,적재함
14,2021-09-27,전라북도,임실군,교통사고,교통사고,고속도로,지상1층,지상,운행중,엔진룸
15,2021-10-13,광주광역시,남구,화학적 요인,자연발화,일반도로,지상1층,지상,주차,적재함
16,2021-10-24,전라남도,여수시,미상,미상,주차장,지하1층,지하,충전중,기타차량위치
17,2021-10-28,전라남도,장성군,화학적 요인,화학적 폭발,일반도로,지상1층,지상,정차,뒷좌석
18,2021-11-01,경기도,의정부시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
19,2021-11-09,경기도,화성시,전기적 요인,미확인단락,주차장,지상1층,지상,주차,엔진룸
20,2021-11-22,경기도,성남시분당구,전기적 요인,접촉불량에 의한 단락,주차장,지상1층,지상,주차,기타차량위치
21,2021-11-24,충청북도,충주시,기타,기타,주차장,지하1층,지하,충전중,기타차량위치
22,2021-12-04,부산광역시,기장군,전기적 요인,미확인단락,공지,지상1층,지상,충전중,미상
23,2021-12-26,경상북도,구미시,부주의,"불씨,불꽃,화원방치",일반도로,지상1층,지상,주차,적재함
24,2021-12-29,서울특별시,강서구,교통사고,교통사고,일반도로,지상1층,지상,운행중,엔진룸
25,2022-04-30,경상남도,창원시 성산구,전기적 요인,미확인단락,일반도로,지상1층,지상,운행중,미상
26,2022-01-11,충청남도,태안군,미상,미상,공지,지상1층,지상,운행중,뒷좌석
27,2022-01-14,경상북도,경주시,전기적 요인,미확인단락,공지,지상1층,지상,충전중,미상
28,2022-02-08,부산광역시,동래구,미상,미상,주차장,지상1층,지상,주차,기타차량위치
29,2022-02-12,부산광역시,해운대구,미상,미상,주차장,지하3층,지하,충전중,기타차량위치
30,2022-02-13,전라북도,익산시,미상,미상,기타 도로,지상1층,지상,주차,미상
31,2022-02-19,울산광역시,중구,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
32,2022-02-22,서울특별시,구로구,미상,미상,주차장,지상1층,지상,운행중,미상
33,2022-03-21,경상북도,구미시,미상,미상,일반도로,지상1층,지상,운행중,기타차량위치
34,2022-04-30,전라남도,영암군,전기적 요인,과부하/과전류,공지,지상1층,지상,충전중,앞좌석
35,2022-05-10,제주특별자치도,제주시,미상,미상,일반도로,지상1층,지상,충전중,미상
36,2022-05-14,충청남도,아산시,부주의,담배꽁초,주차장,지상1층,지상,주차,적재함
37,2022-05-15,인천광역시,강화군,전기적 요인,미확인단락,주차장,지상1층,지상,충전중,기타차량위치
38,2022-05-19,부산광역시,동래구,미상,미상,일반도로,지상1층,지상,정차,적재함
39,2022-05-27,대구광역시,북구,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
40,2022-06-04,부산광역시,강서구,교통사고,교통사고,고속도로,지상1층,지상,운행중,엔진룸
41,2022-06-12,충청남도,보령시,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
42,2022-06-17,광주광역시,남구,부주의,담배꽁초,일반도로,지상1층,지상,운행중,적재함
43,2022-06-19,광주광역시,서구,전기적 요인,접촉불량에 의한 단락,일반도로,지상1층,지상,운행중,기타차량위치
44,2022-07-03,경기도,안양시동안구,전기적 요인,과부하/과전류,고속도로,지상1층,지상,운행중,기타차량위치
